keyword,author,text,post_time,url,sentiment
#AFLDogsPower,squiggle.au,Western Bulldogs by 19 with a 71% win chance. Western Bulldogs v Port Adelaide @ Eureka Stadium #AFLDogsPower https//squiggle.com.au/game/?gid=37155,2025-05-03T01:20:09.488Z,https://bsky.app/profile/squiggle.au/post/3loa6cp2jdz2z,"{'weareportadelaide': 0.0, 'westernbulldogs': 0.35}"
#AFLDogsPower,lukefoley.me,Remember everybody the most important thing happening today is the Dogs vs Port Adelaide game in Ballarat. Priorities. Go Dogs! #AFL #AFLDogsPower,2025-05-03T00:29:05.289Z,https://bsky.app/profile/lukefoley.me/post/3loa3hd24u22h,"{'weareportadelaide': 0.136, 'westernbulldogs': 0.091}"
#AFLDogsPower,sameguy.bsky.social,"I know that there is no faith but what we make for ourselves, but sometimes you depend upon others. For the @brisbanelions there really is a chance now! #Uncaged #AFLDogsPower #GoLions #AFLLionsEagles",2024-11-18T23:17:46.954Z,https://bsky.app/profile/sameguy.bsky.social/post/3lbb2jxzlme2w,"{'brisbanelions': 0.186, 'weareportadelaide': 0.0, 'westcoasteagles': 0.0, 'westernbulldogs': 0.0}"
#AFLPiesCats,coryspk.com,Congratulations to the Cats on the win over Collingwood last night at the Melbourne Cricket Ground. Second win of the day for me. #aflpiescats #opinion #4AU,2025-05-03T22:55:48.981Z,https://bsky.app/profile/coryspk.com/post/3locgpejj7c25,"{'collingwoodfc': 0.414, 'geelongcats': 0.414, 'melbournefc': 0.827}"
#AFLPiesCats,wheeloratings.com,"Expected Scores

Collingwood v Geelong, Round 8

Match Stats
wheeloratings.com/afl match st...

#AFLPiesCats #AFL",2025-05-03T21:44:49.686Z,https://bsky.app/profile/wheeloratings.com/post/3loccqk5tlc2i,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,mynewstech.bsky.social,"robotMeta Just Dropped a Standalone AI Chatbot App – Here’s Why It Matters!
Meta’s new AI Chatbot app is breaking free from social media!speech balloon
#MetaAI #Chatbots #ArtificialIntelligence #TechNews #DigitalAssistant #Innovation #AusVotes2025 #AFLPiesCats #aflcrowsblues #auspol
www.mytechnews.co/meta-launche...",2025-05-03T18:41:51.683Z,https://bsky.app/profile/mynewstech.bsky.social/post/3lobyjbh5uk2h,"{'adelaidefc': 0.735, 'carltonblues': 0.735, 'collingwoodfc': 0.735, 'geelongcats': 0.735}"
#AFLPiesCats,mynewstech.bsky.social,"speaker high volume Redmi Speaker Not Working? Try These Fixes!

Is your Redmi speaker silent? Don’t panic! wrench

Still no sound? It might be hardware!

#Redmi #Xiaomi #TechTips #Smartphone #SpeakerFix #Troubleshooting #AusVotes25 #AFLPiesCats #Dutton #Labor #auspol #JamesMcGrath #Libs

www.mytechnews.co/redmi-speake...",2025-05-03T15:21:18.382Z,https://bsky.app/profile/mynewstech.bsky.social/post/3lobncqd3h22o,"{'collingwoodfc': 0.178, 'geelongcats': 0.178}"
#AFLPiesCats,aflplayerratings.bsky.social,"2025 Round 8 - Collingwood v Geelong Cats
#AFLPiesCats
#AFL",2025-05-03T12:52:59.388Z,https://bsky.app/profile/aflplayerratings.bsky.social/post/3lobezl4yts22,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,p-terg.bsky.social,Live league ladder at the bell #AFL #AFLRound8 #AFLPiesCats #CollingwoodFC #GoPies #GeelongCats #WeAreGeelong,2025-05-03T12:37:11.318Z,https://bsky.app/profile/p-terg.bsky.social/post/3lobe5avk2s2j,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,p-terg.bsky.social,#AFL #AFLRound8 #AFLPiesCats #CollingwoodFC #GoPies #GeelongCats #WeAreGeelong,2025-05-03T12:37:11.290Z,https://bsky.app/profile/p-terg.bsky.social/post/3lobe54c6ak2j,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,jd359.bsky.social,Of course Collingwood had to wreck an o’wise good day/nite! Really should’ve just skipped having it in the multi but what’s done is done now. We’ll try again & get lucky s’where down the track #AFLPiesCats,2025-05-03T12:36:30.184Z,https://bsky.app/profile/jd359.bsky.social/post/3lobe3yjo7s2m,"{'collingwoodfc': 0.211, 'geelongcats': 0.421}"
#AFLPiesCats,andrewgigacz.bsky.social,"23 May 1925  Geelong 90 d Collingwood 87 
03 May 2025 Geelong 90 d Collingwood 87  

#AFLPiesCats",2025-05-03T12:30:35.188Z,https://bsky.app/profile/andrewgigacz.bsky.social/post/3lobdrax3322v,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,vietp86.bsky.social,"Cats bounce back at Australia's sporting mecca.

grinning cat with smiling eyes blue heart white heart

#AFL #AFLPiesCats #WeAreGeelong",2025-05-03T12:29:54.489Z,https://bsky.app/profile/vietp86.bsky.social/post/3lobdq2v4hk2r,"{'collingwoodfc': 0.931, 'geelongcats': 0.466, 'weareportadelaide': 0.0}"
#AFLPiesCats,andrewmueller.bsky.social,"Australia rejoices in a stirring defeat of the forces of darkness. But enough about the Geelong vs Collingwood game, etc. #AFLPiesCats",2025-05-03T12:29:44.586Z,https://bsky.app/profile/andrewmueller.bsky.social/post/3lobdpyysrk2o,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,ktsav99.bsky.social,I FUCKING LOVE THIS CLUB!!!! loudly crying face folded hands blue heart white heart #AFLPiesCats,2025-05-03T12:27:03.583Z,https://bsky.app/profile/ktsav99.bsky.social/post/3lobdl2j3u22j,"{'collingwoodfc': 0.743, 'geelongcats': 0.743}"
#AFLPiesCats,sirswampthing.bsky.social,"Jack Crisp 245 game streak ends with him missing

 #AFLPiesCats #AFL",2025-05-03T12:25:27.581Z,https://bsky.app/profile/sirswampthing.bsky.social/post/3lobdie7nnc2u,"{'collingwoodfc': -0.296, 'geelongcats': -0.296}"
#AFLPiesCats,moxon-will.bsky.social,What a game that was! Crisp with the chance to win it at the end but gets it all wrong. Cats with a brilliant 4th quarter. Two serious contenders there #AFL #AFLPiesCats,2025-05-03T12:21:16.886Z,https://bsky.app/profile/moxon-will.bsky.social/post/3lobdaumrsc2z,"{'collingwoodfc': -0.077, 'geelongcats': 0.254}"
#AFLPiesCats,iamno-33.bsky.social,Well #AFLPiesCats was a helluva lot closer than #LaborLiberal in #AusVotes,2025-05-03T12:19:57.484Z,https://bsky.app/profile/iamno-33.bsky.social/post/3lobd6iynhk2q,"{'collingwoodfc': 0.273, 'geelongcats': 0.273}"
#AFLPiesCats,lukefoley.me,What a finish!!! That was crazy!!! #AFLPiesCats #AFL,2025-05-03T12:19:20.285Z,https://bsky.app/profile/lukefoley.me/post/3lobd5fgmhs2n,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,vicjin66.bsky.social,"It's a good night when both the LNP and Collingwood lose.

#auspol #AusVotes25
#AFLPiesCats #AFL",2025-05-03T12:19:17.886Z,https://bsky.app/profile/vicjin66.bsky.social/post/3lobd5bz4ks2x,"{'collingwoodfc': 0.026, 'geelongcats': 0.0}"
#AFLPiesCats,427impala.bsky.social,WHAT A FINISH #aflpiescats,2025-05-03T12:19:07.884Z,https://bsky.app/profile/427impala.bsky.social/post/3lobd4zozw22q,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,427impala.bsky.social,I kinda miss the old 5 minute warning sometimes. It did add drama! #aflpiescats,2025-05-03T12:04:08.785Z,https://bsky.app/profile/427impala.bsky.social/post/3lobcca4pmk2s,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,427impala.bsky.social,"Sorry Albo, they're in time on in the last quarter at the 'G and there's under a goal in it

Be back in a few minutes!

#ausvotes #auspol #binnight #aflpiescats",2025-05-03T12:03:09.791Z,https://bsky.app/profile/427impala.bsky.social/post/3lobcaidtfs2s,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,ausport.bsky.social,"AFL Collingwood v Geelong Cats - Crowd 82,514 @ MCG (Melbourne) #AFLPiesCats",2025-05-03T12:02:03.784Z,https://bsky.app/profile/ausport.bsky.social/post/3lobc6jofg42s,"{'collingwoodfc': 0.0, 'geelongcats': 0.0, 'melbournefc': 0.0}"
#AFLPiesCats,lukefoley.me,Very considerate of the Spudalition to capitulate so early just so I can watch the last quarter. Looks like a cracker! #BinNight #AFLPiesCats #AFL,2025-05-03T11:54:19.783Z,https://bsky.app/profile/lukefoley.me/post/3lobbqohd6k2p,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,427impala.bsky.social,Might have to switch over to the footy for a few minutes...! eyes #auspol #ausvotes #binnight #AFLpiescats,2025-05-03T11:53:51.881Z,https://bsky.app/profile/427impala.bsky.social/post/3lobbpu7cd22k,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,p-terg.bsky.social,"29’57” ½-time@MCG
#CollingwoodFC 4.4 7.7 (49) Bob Hill, M.Cox, D.Cameron, B.Mihocek, D.Houston, J.Elliott, N.Daicos;
#GeelongFC 4.1 6.6 (42) S.Neale,* M.Blicavs, Bailey Smith, O.Dempsey, O.Henry, S.Mannagh
#AFL #AFLRound8 #AFLPiesCats #GoPies #WeAreGeelong",2025-05-03T11:21:13.688Z,https://bsky.app/profile/p-terg.bsky.social/post/3lob7vflxcc2f,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,p-terg.bsky.social,"33’40” ¼-time@MCG
@CollingwoodFC 4.4 (28) Bob Hill 16’, M.Cox 21’; D.Cameron 23’; B.Mihocek 26’;
@GeelongCats 4.1 (25) S.Neale 2’; M.Blicavs 10’; Bailey Smith 11’; O.Dempsey 19’
#AFL #AFLRound8 #AFLPiesCats #GoPies #WeAreGeelong",2025-05-03T10:49:21.686Z,https://bsky.app/profile/p-terg.bsky.social/post/3lob64f3pfk2x,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,coryspk.com,Half time at the MCG and Collingwood lead Geelong by seven points. #AFLPiesCats #4AU,2025-05-03T10:47:23.585Z,https://bsky.app/profile/coryspk.com/post/3lob5yvdzjk2p,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,paullenkic.bsky.social,"How did we fuck up that last minute of the 1st Quarter? Still, it was a good comeback after the Cats jumped us early. #GoPies #AFLPiesCats",2025-05-03T10:09:39.583Z,https://bsky.app/profile/paullenkic.bsky.social/post/3lob3vj7xis22,"{'collingwoodfc': 0.0, 'geelongcats': 0.22}"
#AFLPiesCats,sirswampthing.bsky.social,"V/AFL consecutive game streaks to encompass 4 Federal Elections
Jock McHale (5)
Jack Titus
JACK CRISP

 #AFLPiesCats #AFL",2025-05-03T09:56:27.682Z,https://bsky.app/profile/sirswampthing.bsky.social/post/3lob35teza22u,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLPiesCats,BernardSheppard.mastodon.au.ap.brid.gy,Not a bad spot to watch the results of #auspol #AFLPiesCats #gopies,2025-05-03T12:47:37.487Z,https://bsky.app/profile/BernardSheppard.mastodon.au.ap.brid.gy/post/3loayf3v4ka32,"{'collingwoodfc': 0.431, 'geelongcats': 0.431}"
#AFLPiesCats,niallginsbourg.bsky.social,"The only contest that's worth following today. Hope Collingwood win in a landslide.
#AFLPiesCats #gopies",2025-05-03T07:41:40.783Z,https://bsky.app/profile/niallginsbourg.bsky.social/post/3loatmpqvjc2n,"{'collingwoodfc': 0.386, 'geelongcats': 0.0}"
#AFLPiesCats,squiggle.au,Collingwood by 7 with a 59% win chance. Collingwood v Geelong @ M.C.G. #AFLPiesCats https//squiggle.com.au/game/?gid=37157,2025-05-03T07:35:13.482Z,https://bsky.app/profile/squiggle.au/post/3loatbehaau2f,"{'collingwoodfc': 0.233, 'geelongcats': 0.0}"
#AFLPiesCats,rohanconnolly65.bsky.social,"Geelong fielded the oldest team ever on grand final day 2022. Now that baton has been passed to Collingwood. On FOOTYOLOGY, as the Cats and Pies square off, age is no longer seen as a barrier, but an asset, says Rohan Connolly. #footyology #aflpiescats",2025-05-02T21:41:52.082Z,https://bsky.app/profile/rohanconnolly65.bsky.social/post/3lo7s4anxjc24,"{'collingwoodfc': 0.113, 'geelongcats': 0.266}"
#AFLPiesCats,sameguy.bsky.social,Piped in crowd noise at an empty #MCG is even worse than at the cricket grounds in UAE during IPL. #AFLPiesCats,2024-11-19T00:42:05.721Z,https://bsky.app/profile/sameguy.bsky.social/post/3lbb7aqjf2c2c,"{'collingwoodfc': 0.0, 'geelongcats': 0.0}"
#AFLSaintsFreo,guywholikessport.bsky.social,"Steve Kerr's Warriors are currently playing a game 7, but #aflsaintsfreo made me think about the Warriors' last coach Mark Jackson. 

It struck me that Freo is in their Mark Jackson era. A progressive list playing a regressive game.

#AFL 

www.neds.com.au/blog/2025/05...",2025-05-05T01:55:21.482Z,https://bsky.app/profile/guywholikessport.bsky.social/post/3lofb7epcok2t,"{'fremantlefc': -0.074, 'stkilda': 0.103}"
#AFLSaintsFreo,sirswampthing.bsky.social,"Josh Treacey's 28 game streak kicking a goal comes to an end

Longest active streak of @AFL games kicking 1+ goals
38 - Jesse Hogan
23 - Jeremy Cameron
14 - Riley Thilthorpe
11 - Ben King
11 - Jack Higgins
11 - Taylor Walker
10 - Eric Hipwood

 #AFLSaintsFreo",2025-05-03T06:35:26.582Z,https://bsky.app/profile/sirswampthing.bsky.social/post/3loapweytq22u,"{'fremantlefc': 0.402, 'stkilda': 0.402}"
#AFLSaintsFreo,wheeloratings.com,"Expected Scores

St Kilda v Fremantle, Round 8

Match Stats
wheeloratings.com/afl match st...

#AFLSaintsFreo #AFL",2025-05-02T21:24:53.587Z,https://bsky.app/profile/wheeloratings.com/post/3lo7r5wiqas2e,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,andrewgigacz.bsky.social,"NOTABLE QUOTES
""I never feel or sense anything.""
              — Ross Lyon, post-match presser

#AFLSaintsFreo",2025-05-02T13:06:24.384Z,https://bsky.app/profile/andrewgigacz.bsky.social/post/3lo6vckzsxc2v,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,andrewgigacz.bsky.social,"FUN FRIDAY FOOTY FACT
Tonight's full time score of 14.10.94 v 5.3.33 was the same as the half-time score of the GWS v Port match played in April 2016.

#AFLSaintsFreo",2025-05-02T12:55:20.081Z,https://bsky.app/profile/andrewgigacz.bsky.social/post/3lo6uopijyc2v,"{'fremantlefc': 0.0, 'gwsgiants': 0.753, 'weareportadelaide': 0.753, 'stkilda': 0.0}"
#AFLSaintsFreo,aflplayerratings.bsky.social,"2025 Round 8 - St Kilda v Fremantle
#AFLSaintsFreo
#AFL",2025-05-02T12:42:32.386Z,https://bsky.app/profile/aflplayerratings.bsky.social/post/3lo6txxqge722,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,andrewgigacz.bsky.social,"Congratulations to '61 points' on the occasion of its 100th instance as a V/#AFL margin. It's come a long way since it was first recorded by South Melbourne against St Kilda in 1897.

#AFLSaintsFreo",2025-05-02T12:36:52.686Z,https://bsky.app/profile/andrewgigacz.bsky.social/post/3lo6tnnabqc2v,"{'fremantlefc': 0.0, 'melbournefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,sportstragic.bsky.social,"ST KILDA black large square red square white large square

St Kilda have destroyed the Dockers under Friday night lights!It wasn't the prettiest game, unless you're a St Kilda supporter. face with hand over mouth face with hand over mouth

Dockers have some serious questions to answer after one of the lowest scores in their history.face with hand over mouth face with hand over mouth

#AFLSaintsFreo backhand index pointing right bit.ly/4lYIv1f",2025-05-02T12:27:48.888Z,https://bsky.app/profile/sportstragic.bsky.social/post/3lo6t5hqsg22j,"{'fremantlefc': 0.107, 'weareportadelaide': -0.659, 'stkilda': 0.107}"
#AFLSaintsFreo,p-terg.bsky.social,#AFL #AFLRound8 #AFLSaintsFreo #SaintsFooty #ForeverFreo,2025-05-02T12:25:42.992Z,https://bsky.app/profile/p-terg.bsky.social/post/3lo6szv5b3k2t,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,steampowerednet.bsky.social,Freo are still classic Freo.  So totally irrelevant. #AFL #AFLSaintsFreo,2025-05-02T12:24:47.683Z,https://bsky.app/profile/steampowerednet.bsky.social/post/3lo6syaa2hs2x,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,vietp86.bsky.social,"The winning heavens are open!

smiling face with halo red heart white heart black heart

#AFL #AFLSaintsFreo #SaintsFooty",2025-05-02T12:23:54.388Z,https://bsky.app/profile/vietp86.bsky.social/post/3lo6swhwurk2c,"{'fremantlefc': 0.949, 'stkilda': 0.949}"
#AFLSaintsFreo,moxon-will.bsky.social,"Not a great watch. Saints did play well in the second half but Freo were absolutely awful. Had them finishing top 4, but feels like they just have a stinker in them #AFL #AFLSaintsFreo",2025-05-02T12:21:29.786Z,https://bsky.app/profile/moxon-will.bsky.social/post/3lo6ssdia2k25,"{'fremantlefc': -0.195, 'stkilda': -0.195}"
#AFLSaintsFreo,ausport.bsky.social,"AFL St Kilda v Fremantle - Crowd 20,522 @ Marvel Stadium (Melbourne) #AFLSaintsFreo",2025-05-02T12:20:04.187Z,https://bsky.app/profile/ausport.bsky.social/post/3lo6spsl2bt2s,"{'fremantlefc': 0.421, 'melbournefc': 0.421, 'stkilda': 0.421}"
#AFLSaintsFreo,andrewgigacz.bsky.social,"The first ever V/#AFL match to finish with a final score of 94 v 33 came last year, in the league's 128th season. Less than a year later, we have the second. 

#AFLSaintsFreo",2025-05-02T12:19:57.683Z,https://bsky.app/profile/andrewgigacz.bsky.social/post/3lo6sphetnk2v,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,crowdiegal.bsky.social,#AFLSaintsfreo Full Time St Kilda 94 defeat Fremantle 33,2025-05-02T12:15:00.182Z,https://bsky.app/profile/crowdiegal.bsky.social/post/3lo6sgqceb22a,"{'fremantlefc': -0.459, 'stkilda': -0.459}"
#AFLSaintsFreo,p-terg.bsky.social,20522 at a Friday Night match #PissPoor #AFL #AFLRound8 #AFLSaintsFreo #SaintsFooty #ForeverFreo,2025-05-02T12:01:05.895Z,https://bsky.app/profile/p-terg.bsky.social/post/3lo6rnr3vh22n,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,lukefoley.me,Imagine being a Fremantle supporter right now. Oof! #AFL #AFLSaintsFreo,2025-05-02T11:55:52.182Z,https://bsky.app/profile/lukefoley.me/post/3lo6rej2a7s2j,"{'fremantlefc': 0.137, 'weareportadelaide': 0.273, 'stkilda': 0.0}"
#AFLSaintsFreo,p-terg.bsky.social,"Cooper Sharman 4.0
Fremantle 3.3
#AFL #AFLRound8 #AFLSaintsFreo #SaintsFooty #ForeverFreo",2025-05-02T11:52:05.389Z,https://bsky.app/profile/p-terg.bsky.social/post/3lo6r5oj2xs2n,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
#AFLSaintsFreo,andrewgigacz.bsky.social,"R8 2025
3/4 TIME StK 8.6.54 vs Frem 2.3.15

R1 1981
1/4 TIME StK 8.6.54 vs Foots 2.3.15

#AFLSaintsFreo",2025-05-02T11:48:10.984Z,https://bsky.app/profile/andrewgigacz.bsky.social/post/3lo6qwjv3nc2v,"{'fremantlefc': 0.0, 'stkilda': 0.0}"
